Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-CA,CA-42,70400,62000,4994250,122550,465500,1611000,467500,20047500,269000,297900,653250,53550
US,US-CA,CA-43,146800,129200,10411000,255475,970500,3359000,975000,41790000,560900,621075,1361250,111600
US,US-CA,CA-44,53300,46900,3777750,92700,352100,1219000,353500,15165000,203500,225375,493500,40500
US,US-CA,CA-45,741500,652500,52577750,1290150,4901100,16965000,4923500,211065000,2832400,3136425,6873750,563500
US,US-CA,CA-46,184400,162300,13078750,320925,1219200,4220000,1224500,52500000,704600,780150,1710000,140200
US,US-CA,CA-47,108200,95200,7673000,188275,715200,2476000,718500,30802500,413300,457725,1002750,82250
US,US-CA,CA-48,526000,462850,37296250,915175,3476600,12034000,3492500,149722500,2009200,2224875,4875750,399750
US,US-CA,CA-49,247500,217850,17552500,430700,1636200,5663000,1643500,70462500,945600,1047075,2294250,188100
US,US-CA,CA-5,67200,59100,4762000,116850,443900,1537000,446000,19117500,256500,284100,622500,51050
US,US-CA,CA-50,79900,70350,5668250,139100,528400,1829000,531000,22755000,305400,338100,741000,60750
US,US-CA,CA-51,72600,63900,5150500,126375,480100,1662000,482500,20677500,277500,307275,673500,55200
US,US-CA,CA-52,119200,104900,8453500,207425,788000,2728000,791500,33937500,455400,504300,1104750,90600
US,US-CA,CA-53,89100,78350,6315250,154975,588700,2038000,591500,25350000,340200,376725,825750,67700
US,US-CA,CA-6,148900,131050,10561750,259175,984500,3408000,989000,42397500,569000,630075,1380750,113200
US,US-CA,CA-7,110400,97100,7825750,192025,729500,2525000,733000,31417500,421600,466800,1023000,83850
US,US-CA,CA-8,88500,77900,6276250,154000,585100,2025000,587500,25192500,338100,374400,820500,67250
US,US-CA,CA-9,62400,54900,4423750,108550,412400,1427000,414000,17760000,238300,263850,578250,47400
US,US-CO,CO-1,429500,377950,30453250,747275,2838700,9826000,2851500,122250000,1640500,1816650,3981000,326400
US,US-CO,CO-2,140900,123950,9989250,245125,931200,3223000,935500,40102500,538100,595875,1305750,107050
US,US-CO,CO-3,130300,114700,9241000,226750,861400,2982000,865500,37095000,497800,551250,1208250,99050
US,US-CO,CO-4,127000,111800,9008000,221050,839700,2907000,843500,36165000,485300,537375,1177500,96550
US,US-CO,CO-5,106700,93900,7567250,185675,705400,2442000,708500,30375000,407700,451425,989250,81100
US,US-CO,CO-6,488900,430250,34667750,850675,3231600,11186000,3246500,139170000,1867600,2068050,4532250,371550
US,US-CO,CO-7,116100,102150,8230250,201950,767200,2656000,770500,33037500,443400,490950,1076250,88200
US,US-CT,CT-1,80200,70600,5688000,139575,530200,1835000,532500,22837500,306400,339300,743250,60950
US,US-CT,CT-2,73400,64600,5207000,127775,485400,1680000,487500,20902500,280500,310575,681000,55800
US,US-CT,CT-3,79500,69950,5636750,138325,525400,1819000,528000,22627500,303700,336225,737250,60400
US,US-CT,CT-4,94400,83100,6697000,164325,624300,2161000,627000,26887500,360800,399525,875250,71800
US,US-CT,CT-5,73100,64300,5183000,127175,483200,1672000,485500,20805000,279200,309150,677250,55550
US,US-DC,DC-AT LARGE,590800,519900,41894750,1028025,3905300,13518000,3923000,168180000,2256900,2499150,5477250,449000
US,US-DE,DE-AT LARGE,161700,142250,11463000,281275,1068500,3699000,1073500,46020000,617500,683775,1498500,122850
US,US-FL,FL-1,225700,198650,16007500,392800,1492200,5165000,1499000,64260000,862300,954900,2092500,171550
US,US-FL,FL-10,786300,691950,55758750,1368225,5197600,17991000,5221000,223837500,3003800,3326175,7289250,597600
US,US-FL,FL-11,245700,216150,17419250,427425,1623800,5621000,1631000,69930000,938400,1039125,2277000,186700
US,US-FL,FL-12,263600,232000,18694750,458725,1742700,6032000,1750500,75045000,1007100,1115175,2444250,200350
US,US-FL,FL-13,237000,208500,16802250,412300,1566300,5421000,1573500,67447500,905200,1002300,2196750,180100
US,US-FL,FL-14,567200,499100,40219250,986900,3749100,12977000,3766000,161452500,2166600,2399175,5257500,431050
US,US-FL,FL-15,260900,229550,18497750,453900,1724300,5969000,1732000,74257500,996500,1103475,2418000,198250
US,US-FL,FL-16,306500,269700,21731000,533250,2025700,7012000,2035000,87240000,1170700,1296300,2841000,232900
US,US-FL,FL-17,266300,234350,18885000,463400,1760400,6094000,1768500,75810000,1017400,1126575,2469000,202400
US,US-FL,FL-18,381300,335500,27036000,663425,2520200,8724000,2531500,108532500,1456500,1612800,3534750,289750
US,US-FL,FL-19,331500,291750,23510000,576900,2191500,7586000,2201500,94380000,1266500,1402425,3073500,252000
US,US-FL,FL-2,179900,158300,12757500,313050,1189200,4116000,1194500,51210000,687300,761025,1668000,136750
US,US-FL,FL-20,197100,173450,13978250,343000,1303000,4510000,1309000,56115000,753000,833850,1827000,149800
US,US-FL,FL-21,248300,218450,17604500,431975,1641000,5680000,1648500,70672500,948400,1050150,2301750,188700
US,US-FL,FL-22,282900,249000,20062500,492300,1870200,6473000,1878500,80542500,1080800,1196775,2622750,215050
US,US-FL,FL-23,274000,241100,19428000,476725,1811000,6269000,1819000,77992500,1046600,1158975,2539500,208250
US,US-FL,FL-24,598900,527000,42465000,1042025,3958500,13702000,3976500,170475000,2287600,2533200,5551500,455150
US,US-FL,FL-25,258200,227200,18306750,449200,1706500,5907000,1714000,73492500,986200,1092075,2393250,196200
US,US-FL,FL-26,523700,460850,37133500,911175,3461500,11982000,3477000,149070000,2000400,2215125,4854750,398000
US,US-FL,FL-27,754500,663950,53499250,1312775,4987000,17262000,5009500,214770000,2882100,3191400,6993750,573400
US,US-FL,FL-3,263600,231950,18691000,458650,1742300,6031000,1750000,75030000,1006900,1114950,2443500,200350
US,US-FL,FL-4,406500,357750,28826000,707350,2687100,9301000,2699500,115717500,1552900,1719600,3768750,308950
US,US-FL,FL-5,140800,123850,9980500,244900,930400,3220000,934500,40065000,537700,595350,1305000,106950
US,US-FL,FL-6,523800,461000,37145250,911475,3462600,11985000,3478500,149115000,2001100,2215800,4856250,398100
US,US-FL,FL-7,363900,320250,25803750,633175,2405400,8326000,2416500,103590000,1390100,1539300,3373500,276550
US,US-FL,FL-8,283500,249450,20102250,493275,1873900,6486000,1882500,80700000,1082900,1199175,2628000,215450
US,US-FL,FL-9,366000,322100,25953250,636850,2419300,8374000,2430500,104190000,1398100,1548225,3393000,278150
US,US-GA,GA-1,70200,61800,4981500,122225,464400,1607000,466500,19995000,268400,297150,651000,53400
US,US-GA,GA-10,52600,46250,3728750,91500,347600,1203000,349000,14970000,200900,222450,487500,39950
US,US-GA,GA-11,99800,87850,7079250,173725,659900,2284000,663000,28417500,381400,422325,925500,75900
US,US-GA,GA-12,43500,38250,3084000,75675,287500,995000,289000,12382500,166100,183975,403500,33050
US,US-GA,GA-13,104700,92150,7427250,182250,692300,2397000,695500,29812500,400100,443025,971250,79600
US,US-GA,GA-14,48700,42800,3449750,84650,321600,1113000,323000,13852500,185800,205800,450750,36950
US,US-GA,GA-2,55200,48600,3917000,96125,365100,1264000,367000,15727500,211000,233625,512250,42000
US,US-GA,GA-3,50200,44150,3558750,87325,331700,1148000,333500,14287500,191700,212325,465000,38150
US,US-GA,GA-4,85900,75550,6089000,149400,567600,1965000,570000,24442500,328000,363225,795750,65250
US,US-GA,GA-5,245700,216200,17422250,427525,1624100,5622000,1631500,69937500,938600,1039275,2277750,186750
US,US-GA,GA-6,490600,431700,34786500,853600,3242700,11224000,3257500,139650000,1874000,2075100,4547250,372850
US,US-GA,GA-7,167100,147050,11850750,290800,1104700,3824000,1109500,47572500,638400,706950,1549500,127000
US,US-GA,GA-8,41000,36050,2905250,71300,270800,937000,272000,11662500,156500,173325,379500,31150
